,City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed
154,Sayansk,RU,54.11,62.9,81,12,1.7
155,Kurilsk,RU,45.23,47.42,96,76,3.38
156,Lazaro Cardenas,MX,28.39,84.2,32,5,4.61
157,Hobart,AU,-42.88,41.0,80,40,9.17
158,Ponta do Sol,CV,17.2,72.98,100,8,13.56
159,Providencia,MX,27.5,82.4,61,5,3.36
160,Lagoa,PT,37.14,75.2,69,20,10.29
161,Batemans Bay,AU,-35.71,41.3,100,0,3.15
162,Beisfjord,NO,68.38,48.2,93,75,3.36
163,Ust-Nera,RU,64.57,47.24,60,0,1.92
164,Guerrero Negro,MX,27.97,60.74,94,48,5.95
165,Terrak,NO,65.09,50.85,71,40,9.17
166,Lanzhou,CN,36.06,73.4,35,0,2.24
167,Olinda,BR,-22.82,80.24,51,0,3.36
168,Luderitz,NA,-26.65,63.26,68,0,16.02
169,Vardo,NO,70.37,43.84,100,90,8.05
170,Sligo,IE,54.27,57.2,58,40,12.75
171,Amparafaravola,MG,-17.68,69.29,41,0,9.42
172,Brae,GB,60.4,49.23,70,75,23.04
173,Tikri,IN,29.73,87.65,64,0,4.27
174,San Juan,US,26.19,77.99,94,90,6.93
175,Herndon,US,38.97,78.48,83,90,4.7
176,Canakkale,TR,40.15,73.4,88,75,12.66
177,Severo-Kurilsk,RU,50.68,39.86,99,92,11.88
178,Konstantinovsk,RU,47.58,91.97,24,0,8.97
179,Saint-Philippe,RE,-21.36,74.37,56,90,5.82
180,Along,IN,28.17,69.38,100,92,1.14
181,Bambous Virieux,MU,-20.34,75.2,83,75,6.93
182,Korla,CN,41.76,69.38,57,88,9.64
183,Saint-Francois,GP,16.25,87.8,52,20,12.75
184,Nhulunbuy,AU,-12.18,75.2,73,40,9.17
185,Buchanan,LR,5.88,77.0,94,75,9.64
186,Itarema,BR,-2.92,87.11,66,0,13.33
187,Tasiilaq,GL,65.61,41.0,75,92,20.8
188,San Ramon de la Nueva Oran,AR,-23.13,77.39,62,0,9.98
189,Moron,MN,47.38,69.65,36,36,10.42
190,Owando,CG,-0.49,87.02,57,12,2.93
191,Oranjemund,NA,-28.55,58.49,100,0,4.61
192,Bubaque,GW,11.28,87.8,55,40,11.41
193,Jammalamadugu,IN,14.85,82.25,69,92,9.75
194,Berea,US,41.37,74.3,57,40,3.36
195,Shelburne,CA,44.08,67.44,45,1,8.05
196,Moquegua,PE,-17.19,64.16,76,0,1.36
197,Grindavik,IS,63.84,51.06,100,90,24.16
198,Visby,SE,57.64,57.2,87,40,17.22
199,Castro,CL,-42.48,44.81,100,92,6.96
200,Khorixas,NA,-20.37,81.62,17,0,2.37
201,Talakan,RU,50.29,55.61,89,68,2.59
202,Lakes Entrance,AU,-37.88,46.79,100,20,2.71
203,Leningradskiy,RU,69.38,30.68,94,24,12.33
204,Bajil,YE,15.06,96.29,34,48,13.44
205,Westport,IE,53.8,57.2,58,40,12.75
206,Rocha,UY,-34.48,58.22,76,0,17.47
207,Arrecife,ES,28.96,75.97,57,40,11.41
208,Tazovskiy,RU,67.47,67.67,58,20,17.92
209,Upernavik,GL,72.79,33.74,93,100,5.39
210,Puerto Maldonado,PE,-12.59,79.1,72,0,2.82
211,Hue,VN,16.47,84.2,89,40,2.24
212,Tulsipur,NP,28.13,81.89,55,68,0.92
213,Kalmunai,LK,7.42,81.89,72,12,7.96
214,Tessalit,ML,20.2,107.81,9,0,14.9
215,Ambulu,ID,-8.35,76.13,100,92,10.87
216,Krasnyy Chikoy,RU,50.36,62.99,72,88,2.37
217,Ornskoldsvik,SE,63.29,62.6,45,0,4.7
218,Mago,RU,53.27,46.25,97,92,3.15
219,Mayumba,GA,-3.44,75.68,90,20,11.43
220,Fukue,JP,35.03,71.6,78,40,11.41
221,Iskateley,RU,67.68,56.33,68,0,12.55
222,Atar,MR,20.52,111.2,9,8,19.46
223,Poum,NC,-20.23,71.99,100,64,15.23
224,Leiyang,CN,26.42,78.29,96,20,1.59
225,Vernon,US,34.15,83.26,51,1,6.93
226,Kruisfontein,ZA,-34.0,66.32,65,0,9.19
227,Dudinka,RU,69.41,61.91,98,92,4.61
228,Geraldton,AU,-28.77,51.8,93,0,4.7
229,Dera Ghazi Khan,PK,30.03,92.78,47,0,4.16
230,Sioux Lookout,CA,50.1,73.4,60,20,5.82
231,Senneterre,CA,48.39,53.6,46,20,12.75
232,Rawson,AR,-43.3,46.25,37,0,20.6
233,Madimba,TZ,-10.4,81.35,92,44,14.0
234,Riohacha,CO,11.54,91.4,55,20,9.17
235,Ewa Beach,US,21.32,73.42,83,1,4.7
236,Chuy,UY,-33.69,65.51,81,8,18.48
237,Natal,BR,-5.81,86.0,58,40,16.11
238,Carnarvon,AU,-24.87,62.81,98,0,16.24
239,Liwale,TZ,-9.8,80.0,46,36,7.74
240,Belmonte,BR,-26.84,77.66,59,48,9.64
241,Gravelbourg,CA,49.88,73.79,46,56,4.61
242,Rio Grande,BR,-32.03,71.6,73,90,11.41
243,Gonen,TR,40.1,76.86,65,75,6.93
244,Nanortalik,GL,60.14,36.62,96,92,15.79
245,Shieli,KZ,44.18,85.49,28,0,1.81
246,Samarai,PG,-10.62,77.66,100,88,18.81
247,Ostrovnoy,RU,68.05,47.42,89,80,4.83
248,Vila Velha,BR,-3.71,86.0,48,0,13.87
249,Namatanai,PG,-3.66,80.18,100,68,1.81
250,Latung,PH,5.5,83.69,100,24,6.73
251,Raton,US,36.9,69.06,72,90,5.82
252,Tual,ID,-5.67,80.0,100,88,15.01
253,Dire Dawa,ET,9.59,86.0,40,75,18.34
254,Hofn,IS,64.25,50.0,81,90,23.04
255,Portland,AU,-33.35,29.78,78,0,0.81
256,Siavonga,ZM,-16.54,71.0,73,64,2.71
257,Talara,PE,-4.58,69.74,76,0,4.94
258,Narsaq,GL,60.91,42.8,87,75,10.29
259,Vangaindrano,MG,-23.35,66.86,98,92,3.38
260,Yichang,CN,30.77,74.69,98,92,4.05
261,Mnogovershinnyy,RU,53.94,45.44,100,92,2.15
262,Okhotsk,RU,59.36,45.17,100,92,13.67
263,Puntarenas,CR,9.98,80.6,51,0,3.36
264,Marabba,SD,12.35,87.65,87,32,4.72
265,Tarakan,ID,3.3,82.34,96,48,4.38
266,Port Blair,IN,11.67,85.13,94,36,18.14
267,Zaysan,KZ,47.47,60.11,51,0,1.92
268,Volcan,PA,8.78,84.2,74,20,3.36
269,Impfondo,CG,1.64,85.76,64,12,2.37
270,Ancud,CL,-41.87,46.7,95,92,7.18
271,Cap-Chat,CA,49.1,48.68,96,76,4.05
272,Baikunthpur,IN,23.26,81.62,69,48,5.17
273,Clyde River,CA,70.47,37.4,100,75,6.93
274,Mount Isa,AU,-20.73,55.4,30,0,9.17
275,San Luis,MX,32.49,77.25,30,1,8.05
276,Kavieng,PG,-2.57,83.06,100,0,5.28
277,Nuuk,GL,64.17,42.8,87,75,6.93
278,Stornoway,GB,58.21,57.2,58,40,20.8
279,Ladario,BR,-19.0,82.47,54,0,8.05
280,Yagodnoye,RU,62.52,51.11,56,44,1.7
281,Tevriz,RU,57.51,58.22,93,0,7.63
282,Najran,SA,17.54,95.0,11,40,9.17
283,Bergerac,FR,44.85,87.8,48,0,10.29
284,Terrace,CA,54.52,60.8,87,75,2.24
285,Gazojak,TM,41.19,88.91,25,64,7.4
286,Anacortes,US,48.5,58.8,77,90,13.87
287,Pisco,PE,-13.71,64.4,77,90,3.36
288,Kailua,US,21.39,73.31,78,40,3.36
289,Puri,IN,19.8,77.0,100,90,9.17
290,Panaba,MX,21.28,85.85,71,24,8.52
291,Mar del Plata,AR,-46.43,40.49,69,0,15.12
292,Silkeborg,DK,56.17,57.85,54,92,23.04
293,Turukhansk,RU,65.8,67.76,55,88,13.33
294,San Patricio,MX,19.22,78.8,94,90,2.93
295,Comodoro Rivadavia,AR,-45.87,44.6,42,20,18.34
296,Shakhtinsk,KZ,49.71,69.8,46,0,8.95
297,Jenison,US,42.91,73.4,49,1,9.17
298,Werda,BW,-25.27,74.87,15,0,4.72
299,Sitka,US,37.17,74.24,55,12,10.65
300,Lurate Caccivio,IT,45.77,86.36,48,20,6.93
301,Merauke,ID,-8.49,77.57,91,76,17.47
302,Kara-Tyube,RU,44.63,96.83,16,0,4.61
303,Gizo,SB,-8.1,81.62,100,68,18.81
304,Hay River,CA,60.82,60.8,77,75,13.87
305,The Pas,CA,53.82,77.0,53,1,5.82
306,Oussouye,SN,12.49,89.69,66,0,9.17
307,Acajutla,SV,13.59,75.7,83,40,5.82
308,Waldoboro,US,44.1,69.4,63,75,4.7
309,Pangai,TO,-19.8,77.57,100,68,10.42
310,Kyren,RU,51.68,51.74,95,12,1.92
311,Sao Joao da Barra,BR,-21.64,80.6,54,20,6.93
312,Dubbo,AU,-32.25,41.0,75,0,11.41
313,Khandyga,RU,62.65,62.9,48,92,5.28
314,Ndele,CF,8.41,81.53,80,56,4.5
315,Linhai,CN,28.86,70.28,96,92,2.59
316,Yar-Sale,RU,66.83,54.44,67,32,9.42
317,Semnan,IR,35.58,88.55,20,0,1.03
318,Norman Wells,CA,65.28,62.6,82,75,2.24
319,Pervomayskoye,RU,57.07,66.32,53,8,7.85
320,Tres Arroyos,AR,-38.38,54.71,39,0,26.75
321,Lavrentiya,RU,65.58,35.72,97,20,10.54
322,Kantang,TH,7.42,80.18,100,0,3.27
323,Outlook,CA,51.48,76.49,35,56,4.61
324,Manokwari,ID,-0.87,80.09,100,24,0.92
325,Henderson,US,36.04,89.94,10,1,2.48
326,Ogulin,HR,45.27,84.2,48,20,4.7
327,Mosquera,CO,4.71,55.4,87,75,3.36
328,Port Hardy,CA,50.7,51.8,100,90,5.82
329,Cururupu,BR,-1.82,83.06,82,100,9.98
330,San Lorenzo,EC,1.29,75.95,100,36,3.38
331,Doha,QA,25.29,100.4,24,0,14.99
332,Ahipara,NZ,-35.17,51.92,100,0,14.9
333,Jeumont,FR,50.3,59.47,48,8,17.22
334,Porto Novo,CV,17.02,82.4,54,20,19.46
335,Port Keats,AU,-14.25,67.85,59,0,13.67
336,Kuybysheve,UA,47.36,91.7,18,0,8.86
337,Pombas,CV,17.15,72.98,100,8,13.56
338,Vostok,RU,46.45,54.08,100,92,2.37
339,Cabo San Lucas,MX,22.89,75.4,64,20,6.93
340,Sulina,RO,45.16,80.72,71,8,4.38
341,Beyneu,KZ,45.32,91.97,19,0,11.99
342,Altamira,BR,-3.2,84.2,74,75,5.82
343,Licata,IT,37.11,75.2,69,40,5.82
344,Mackay,AU,-21.15,62.6,93,40,9.17
345,Linxia,CN,35.6,50.48,89,8,2.26
346,Jaguaruana,BR,-4.83,89.09,46,0,9.98
347,Bam,IR,29.11,92.15,13,12,2.59
348,Saint-Joseph,RE,-21.37,74.39,56,90,5.82
349,Mpulungu,ZM,-8.77,77.39,32,88,6.96
350,Vaitape,PF,-16.52,78.29,100,92,17.02
351,Astara,AZ,38.42,73.33,51,20,12.75
352,Gavle,SE,60.67,50.21,100,92,15.23
353,Lucea,JM,18.44,86.0,66,20,8.05
354,Astoria,US,46.19,57.2,93,90,4.7
355,Linxi,CN,23.65,80.6,88,75,2.24
356,Yingcheng,CN,30.93,80.6,74,0,8.95
357,Lamu,KE,-2.27,78.56,88,0,16.13
358,Havre-Saint-Pierre,CA,50.23,53.6,76,90,10.29
359,Leh,IN,34.16,32.03,98,88,0.13
360,Nykoping,SE,58.75,57.83,67,75,13.87
361,Muros,ES,42.77,78.8,65,20,13.87
362,Seminole,US,32.72,79.48,57,1,4.7
363,Livingstonia,MW,-10.61,73.97,65,0,4.38
364,North Bend,US,43.41,56.23,87,90,2.93
365,Rundu,NA,-17.91,79.01,15,0,7.96
366,Nishihara,JP,35.74,68.92,100,1,3.04
367,Nome,US,30.04,77.41,88,90,5.82
368,Newport,US,41.49,71.73,73,20,8.05
369,Nam Phong,TH,16.71,80.6,94,40,3.6
370,Gamba,GA,-2.72,76.49,92,0,15.12
371,Waingapu,ID,-9.65,73.61,87,80,9.31
372,Pangnirtung,CA,66.15,35.6,100,90,12.75
373,Port-Gentil,GA,-0.72,78.8,78,20,13.87
374,Dicabisagan,PH,17.08,75.23,100,20,5.95
375,Ilovlya,RU,49.31,86.0,22,0,13.42
376,Smithers,CA,54.78,57.2,100,75,2.24
377,Haines Junction,CA,60.75,53.81,57,0,2.71
378,Watsa,CD,3.04,70.01,89,76,4.05
379,Hohhot,CN,40.81,64.4,77,0,4.47
380,Lannion,FR,48.73,59.0,62,20,12.75
381,Douglas,US,31.51,90.79,49,1,5.82
382,Port Moresby,PG,-9.47,78.02,97,36,25.64
383,Koslan,RU,63.46,69.02,65,64,6.73
384,Karratha,AU,-20.74,61.64,24,0,13.44
385,Saquarema,BR,-22.93,79.97,69,0,9.17
386,Russell,NZ,-35.26,51.74,82,24,12.21
387,Lyngseidet,NO,69.58,46.4,87,75,2.24
388,Takoradi,GH,4.89,79.64,94,80,10.65
389,Varhaug,NO,58.61,55.4,71,40,21.92
390,Gorontalo,ID,0.54,70.91,100,68,1.92
391,Hobyo,SO,5.35,80.36,66,8,24.52
392,Zyryanka,RU,65.73,61.46,42,24,4.27
393,Rudbar,AF,30.15,101.42,8,0,16.02
394,Sayyan,YE,15.17,77.93,16,80,7.4
395,Carutapera,BR,-1.2,84.32,79,56,10.09
396,Bandarbeyla,SO,9.49,79.19,79,20,34.81
397,Vitim,RU,59.44,62.54,59,12,3.6
398,Springdale,CA,49.5,55.61,82,92,16.24
399,Rafai,CF,4.95,74.42,98,88,2.71
400,Staroye Drozhzhanoye,RU,54.73,68.75,37,48,18.48
401,Charters Towers,AU,-20.07,47.96,82,0,5.61
402,Bhabua,IN,25.04,97.19,45,88,2.59
403,Quatre Cocos,MU,-20.21,75.2,83,75,6.93
404,Menongue,AO,-14.66,75.77,22,0,3.71
405,Egvekinot,RU,66.32,33.47,65,0,2.48
406,Karlshus,NO,59.35,59.0,54,75,12.75
407,Nantucket,US,41.28,68.38,93,90,4.7
408,Muisne,EC,0.61,79.91,71,0,4.05
409,Norsup,VU,-16.07,75.59,94,56,9.19
410,Te Anau,NZ,-45.41,28.25,83,48,2.37
411,Atasu,KZ,48.68,79.19,27,48,9.42
412,Kosh-Agach,RU,49.99,47.96,48,0,6.29
413,Nsanje,MW,-16.92,79.28,54,0,8.41
414,Ucluelet,CA,48.94,53.6,100,90,6.93
415,Vila Franca do Campo,PT,37.72,73.4,69,20,11.41
416,Taseyevo,RU,57.22,64.16,75,8,4.27
417,Tocopilla,CL,-22.09,59.48,100,56,1.7
418,Kahului,US,20.89,66.99,88,1,8.05
419,Tilichiki,RU,60.47,37.88,88,0,2.48
420,Aykhal,RU,65.95,60.65,62,0,7.29
421,Weatherford,US,32.76,84.79,55,1,3.36
422,Lima,PE,-12.06,62.09,80,8,1.92
423,Jasper,CA,52.88,61.28,46,48,2.15
424,Prykolotne,UA,50.16,81.98,38,0,5.28
425,Rapina,EE,58.1,75.18,39,76,11.18
426,Ganzhou,CN,25.86,75.59,98,88,2.48
427,Salalah,OM,17.01,82.4,83,40,9.17
428,Lovozero,RU,68.01,49.4,100,92,2.48
429,Inhambane,MZ,-23.87,73.4,78,20,7.63
430,Mokhsogollokh,RU,61.4,56.87,66,100,4.72
431,Cacequi,BR,-29.88,76.13,68,8,21.94
432,Caseiu,RO,47.18,72.75,93,75,1.12
433,Calvia,ES,39.57,84.2,48,20,11.41
434,Ahuimanu,US,21.44,73.35,78,40,3.36
435,Port Hedland,AU,-20.31,60.8,44,0,10.29
436,Anadyr,RU,64.73,33.8,84,0,4.47
437,Puerto Escondido,MX,15.86,80.6,74,75,3.36
438,Yulara,AU,-25.24,46.4,61,0,6.93
439,Bealanana,MG,-14.54,67.13,43,0,1.59
440,Cibitoke,BI,-2.89,64.52,91,92,3.04
441,Methoni,GR,36.82,84.2,37,40,6.93
442,Deputatskiy,RU,69.3,60.11,33,12,5.61
443,Tautira,PF,-17.73,75.2,78,80,6.93
444,Mount Gambier,AU,-37.83,39.95,85,36,3.71
445,Buraydah,SA,26.33,107.6,18,0,13.87
446,Slave Lake,CA,55.28,66.2,68,1,5.82
447,Uige,AO,-7.61,79.73,52,0,2.71
448,Buala,SB,-8.15,82.52,87,32,9.64
449,Taoudenni,ML,22.68,112.67,9,0,9.53
450,La Palma,PA,8.4,81.44,98,44,3.6
451,Mangan,IN,27.5,45.26,86,20,0.92
452,Pishva,IR,35.31,94.98,11,0,11.41
453,Osakarovka,KZ,50.56,76.58,31,8,10.98
454,Pitimbu,BR,-7.47,82.4,61,75,14.99
455,Ballina,IE,54.11,57.2,58,40,12.75
456,Hovd,MN,48.01,65.78,52,76,7.63
457,Fort Nelson,CA,58.81,69.8,64,75,4.7
458,Marawi,SD,18.48,102.41,28,48,4.72
459,Padang,ID,-0.92,83.42,100,48,2.93
460,Fare,PF,-16.7,78.92,100,92,18.14
461,Sinnamary,GF,5.38,78.56,100,88,5.95
462,Chumikan,RU,54.72,40.31,96,92,2.04
463,Sebring,US,27.5,87.8,66,40,8.05
464,Estreito,BR,-22.44,77.0,57,20,2.24
465,Sept-Iles,CA,50.2,59.0,38,40,13.87
466,Alofi,NU,-19.06,71.6,100,92,2.24
467,Pandan,PH,11.72,82.43,100,88,8.41
468,Willowmore,ZA,-33.3,60.02,31,0,5.73
469,Kuybyshevskiy Zaton,RU,55.16,68.0,34,40,22.37
470,Marsa Matruh,EG,31.35,86.0,51,0,12.75
471,Namibe,AO,-15.19,69.02,100,12,5.61
472,Palora,EC,-1.7,66.86,83,0,2.48
473,Abu Kamal,SY,34.45,95.84,21,0,12.44
474,Awbari,LY,26.59,103.22,10,92,11.1
475,Tabou,CI,4.42,79.37,100,44,14.45
476,Zhigansk,RU,66.77,62.09,52,0,5.39
477,Mengyin,CN,35.71,78.02,50,92,3.6
478,High Level,CA,58.52,78.8,44,75,3.36
479,Camacupa,AO,-12.02,73.97,32,0,4.72
480,Kodinsk,RU,58.6,68.48,51,8,5.73
481,Iqaluit,CA,63.75,39.2,64,75,9.17
482,The Valley,AI,18.22,85.21,61,20,16.11
483,Anloga,GH,5.79,80.6,78,20,14.99
484,San Andres,CO,8.22,77.0,94,75,2.24
485,Port Macquarie,AU,-31.43,51.8,93,75,6.93
486,Howard Springs,AU,-12.5,71.6,46,0,6.93
487,Tahe,CN,52.34,55.88,95,68,3.38
488,Ormara,PK,25.21,85.58,88,36,13.89
489,Bhadra,IN,29.1,93.32,40,0,4.72
490,Pacifica,US,37.61,55.76,87,90,9.17
491,Nosy Varika,MG,-20.58,70.55,100,0,4.94
492,Ko Samui,TH,9.54,84.2,74,20,7.29
493,Bemidji,US,47.48,73.9,53,1,4.7
494,Praia,CV,14.92,82.4,58,0,6.93
495,Tutoia,BR,-2.76,89.6,62,40,11.41
496,Dingle,IE,52.14,56.06,96,8,12.77
497,Nemuro,JP,43.32,52.64,96,88,14.12
498,Santiago,CO,7.86,86.88,45,40,27.51
499,Korhogo,CI,9.46,90.44,66,8,10.98
500,Houma,US,29.6,84.7,66,40,10.29
501,Redding,US,40.59,67.66,41,1,2.71
502,Aquidauana,BR,-20.47,80.27,79,0,4.5
503,Port-Cartier,CA,50.03,59.0,38,40,13.87
504,Morant Bay,JM,17.88,82.4,78,75,33.33
